@name,change,enabled,type,nameUi,order,Year,weight,cost,costMod,crew,model,scale,group,mountPoints,countries,param,stats,caliber,#caliberInch,barrels,hullWeightRatio,sectionsMin,sectionsMax,tonnageMin,tonnageMax,maxAllowedCaliber,beamMin,beamMax,draughtMin,draughtMax,beamCoef,draughtCoef,speedLimiter,minMainTurrets,minMainBarrels,#comment,#comment2,#cost_base,#cost_base_mod
si_barbette_tall_x1,,,barbette,Medium Superimposed Barbette V,,,120,555000,,9,new_york_barbette_b,1,,si_barbette,,"main_super, main_super_medium, need(bc;bb), ca_small_barb","size(4), barbette(60)",432,17,,,,,,,,,,,,,,,,,120,90,185000,555000
si_barbette_big2,,,barbette,Standard Superimposed Barbette ,,,124.8,600000,,10,dreadnought_si_barbette_big,1.2,,si_barbette,,"main_super, main_super_medium, need(bc;bb), big_barbette","size(4.5), barbette(65)",432,17,,,,,,,,,,,,,,,,,124.8,93.6,200000,600000
si_barbette_big_b,,,barbette,Tall Superimposed Barbette,,,144,720000,,14,hood_si_barbette,1.05,,si_barbette,,"main_super, main_super_medium, need(bc;bb), big_barbette","size(5), barbette(70)",432,17,,,,,,,,,,,,,,,,,144,108,240000,720000
si_barbette_big_d,,,barbette,Very Tall Superimposed Barbette I,,,158.4,810000,,16,hood_si_barbette_big,1,,si_barbette,,"main_super, main_super_medium, need(bc;bb), big_barbette","size(6), barbette(75)",432,17,,,,,,,,,,,,,,,,,158.4,118.8,270000,810000
si_barbette_tall_x2,,,barbette,Very Tall Superimposed Barbette II,,,165,855000,,17,new_york_barbette_b,1.12,,si_barbette,,"main_super, main_super_medium, need(bc;bb), big_barbette","size(6.2), barbette(80)",432,17,,,,,,,,,,,,,,,,,165,123.75,285000,855000
si_barbette_big_c,,,barbette,Enlarged Superimposed Barbette,,,175.2,900000,,18,dreadnought_si_barbette_huge,1.16,,si_barbette,,"main_super, main_super_medium, main_super_huge, need(bc;bb), big_barbette, need(g3;g4)","size(6.4), barbette(85)",457,18,,,,,,,,,,,,,,,,,175.2,131.4,300000,900000
si_barbette_big_e,,,barbette,Big Superimposed Barbette,,,201.6,1020000,,20,littorio_barbette_a,1,,si_barbette,,"main_super_medium, main_super_huge, need(bc;bb), big_barbette, need(g3;g4)","size(6.5), barbette(90)",457,18,,,,,,,,,,,,,,,,,201.6,151.2,340000,1020000
si_barbette_big_e_large,,,barbette,Exra Tall Superimposed Barbette,,,240,1170000,,22,littorio_barbette_a,1.1,,si_barbette,,"main_super_medium, main_super_huge, need(bc;bb), big_barbette, need(g3;g4)","size(6.6), barbette(95)",457,18,,,,,,,,,,,,,,,,,240,180,390000,1170000
si_barbette_huge,,,barbette,Huge Superimposed Barbette,,,252,1440000,,24,yamato_si_barbette,1,,si_barbette,,"main_super_medium, main_super_huge, need(bc;bb), big_barbette, need(g3;g4)","size(6.8), barbette(100)",559,22,,,,,,,,,,,,,,,,,252,189,480000,1440000
si_barbette_huge_2,,,barbette,Enormous Superimposed Barbette,,,276,1575000,,27,yamato_si_barbette,1.1,,si_barbette,,"main_super_huge, need(bc;bb), big_barbette, need(g3;g4)","size(7.2), barbette(105)",559,22,,,,,,,,,,,,,,,,,276,207,525000,1575000
si_barbette_giga,,,barbette,Gigantic Superimposed Barbette,,,319.2,1875000,,33,ussr_barbette_a,1.11,,si_barbette,,"main_super_huge, big_barbette, need(bc;bb), need(g3;g4)","size(8), barbette(110)",559,22,,,,,,,,,,,,,,,,,319.2,239.4,625000,1875000
si_barbette_big_e_xlarge,,,barbette,Super Tall Barbette,,,350.4,2370000,,35,littorio_barbette_a,1.243,,si_barbette,,"main_super_huge, need(bc;bb), big_barbette, need(g3;g4)","size(9), barbette(115)",559,22,,,,,,,,,,,,,,,,,350.4,262.8,790000,2370000
si_barbette_huge,,0,barbette,Huge Superimposed Barbette,,,192,900000,,18,dreadnought_si_barbette_huge,1.09,,si_barbette,,main_super,size(8),559,22,,,,,,,,,,,,,,,,,192,144,300000,900000
si_barbette_vhuge,,0,barbette,Enormous Superimposed Barbette,,,312,900000,,25,yamato_si_barbette,1,,si_barbette,,main_super,size(10),559,22,,,,,,,,,,,,,,,,,312,234,300000,900000
##,,,funnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
modern_BB_funnel_3,,,funnel,Super Funnel (Very Large),,,880,5200000,,75,yamato_funnel_a,1.185,,funnel,,need(BB_Modern;BB_Modern_Austria;BB_Modern_Russia;BB_Izumo),"funnel(1), fcap(83), smoke(80), size(17.2)",,,,,,,,,,,,,,,,,,,880,704,1500000,4500000
modern_BB_funnel_2,,,funnel,Super Funnel (Large),,,800,1500000,,70,yamato_funnel_a,1.125,,funnel,,need(BB_Modern;BB_Modern_Austria;BB_Modern_Russia;BB_Izumo),"funnel(1), fcap(74), smoke(70), size(16.2)",,,,,,,,,,,,,,,,,,,800,640,,
mogami_funnel_2_xxlarge2,,,funnel,Huge Dual Funnel III,,,1100,6250000,,95,moga_funnel_a,1.68,,funnel,,need(BC_Modernized_Japan),"funnel(2), fcap(75), smoke(90), size(20)",,,,,,,,,,,,,,,,,,,1100,880,1350000,4050000
modern_BB_funnel_superwide_3,,,funnel,Super Wide Funnel III,,,1060,5300000,,90,akizuki_funnel_b_var,1.27,,funnel,,need(BC_Modernized_Japan),"funnel(1), fcap(70), smoke(85), size(19)",,,,,,,,,,,,,,,,,,,1060,848,1500000,4500000
modern_BB_funnel_superwide_2,,,funnel,Super Wide Funnel II,,,945,5300000,,85,akizuki_funnel_b_var,1.21,,funnel,,need(BC_Modernized_Japan),"funnel(1), fcap(62), smoke(79), size(18.1)",,,,,,,,,,,,,,,,,,,945,756,1500000,4500000
modern_BB_funnel_superwide_1,,,funnel,Super Wide Funnel I,,,880,4700000,,80,akizuki_funnel_b_var,1.15,,funnel,,need(BC_Modernized_Japan),"funnel(1), fcap(55), smoke(72), size(17.2)",,,,,,,,,,,,,,,,,,,880,704,1500000,4500000
mogami_funnel_2_xxlarge,,,funnel,Super Dual Funnel II,,,736,1350000,,65,moga_funnel_a,1.325,,funnel,,"need(BB_Modern;BC_Modern_Japan;BB_Semi_Japan;BB_Izumo), needunlock(biglatefunnels_level_4)","funnel(2), fcap(93), smoke(66), size(15.5)",,,,,,,,,,,,,,,,,,,736,588.8,,
modern_BB_funnel_1,,,funnel,Super Funnel (Medium),,,672,1250000,,55,yamato_funnel_a,1,,funnel,,need(BB_Modern;BC_Modern_Japan;BB_Modern_Austria;BB_Modern_Russia;BB_Semi_Japan;BB_Izumo),"funnel(1), fcap(88), smoke(63), size(14.5)",,,,,,,,,,,,,,,,,,,672,537.6,,
mogami_funnel_1_xxlarge,,,funnel,Super Angled Funnel II,,,665.6,1105000,,35,moga_funnel_b,1.325,,funnel,,"need(BB_Modern;BC_Modern_Japan;BB_Semi_Japan;BB_Izumo), needunlock(biglatefunnels_level_4)","funnel(1), fcap(85), smoke(60), size(13.5)",,,,,,,,,,,,,,,,,,,665.6,532.48,,
mogami_funnel_2_xlarge,,,funnel,Super Dual Funnel I,,,608,1050000,,32,moga_funnel_a,1.225,,funnel,,need(BB_Modern;BC_Modern_Japan;BB_Semi_Japan;BB_Izumo),"funnel(2), fcap(82), smoke(57), size(12.5)",,,,,,,,,,,,,,,,,,,608,486.4,,
mogami_funnel_1_xlarge,,,funnel,Super Angled Funnel I,,,544,885000,,25,moga_funnel_b,1.225,,funnel,,need(BB_Modern;BC_Modern_Japan;BB_Semi_Japan;BB_Izumo),"funnel(1), fcap(78), smoke(53), size(10.5)",,,,,,,,,,,,,,,,,,,544,435.2,,
modern_BB_funnel_7_bismarck,,,funnel,Uber Funnel VIII,,,928,1255000,,80,bismarck_funnel_a,1.29,,funnel,,"need(BB_Modern_Germany_Wide;BB_Modern_Germany_Wider), needunlock(late_BB_funnels_level_4)","funnel(1), fcap(110), smoke(69), size(16.5)",,,,,,,,,,,,,,,,,,,928,742.4,,
modern_BB_funnel_6_bismarck,,,funnel,Uber Funnel VII,,,851.2,1195000,,75,bismarck_funnel_a,1.25,,funnel,,"need(BB_Modern_Germany_Wide;BB_Modern_Germany_Wider), needunlock(late_BB_funnels_level_4)","funnel(1), fcap(106), smoke(67), size(16)",,,,,,,,,,,,,,,,,,,851.2,680.96,,
modern_BB_funnel_5_bismarck,,,funnel,Uber Funnel VI,,,780.8,1105000,,70,bismarck_funnel_a,1.15,,funnel,,need(BB_Modern_Germany_Wide;BB_Modern_Germany_Wider),"funnel(1), fcap(102), smoke(65), size(15.5)",,,,,,,,,,,,,,,,,,,780.8,624.64,,
modern_BB_funnel_4_bismarck,,,funnel,Uber Funnel V,,,704,965000,,65,bismarck_funnel_a,1.1,,funnel,,need(BB_Modern_Germany_Wide;BB_Modern_Germany_Wider),"funnel(1), fcap(92), smoke(60), size(14)",,,,,,,,,,,,,,,,,,,704,563.2,,
modern_BB_funnel_4_bismarck_caversion,,,funnel,Uber Funnel V,,,704,965000,,65,bismarck_funnel_a,1.1,,funnel,,"need(CA_German_Pocket_Big), needunlock(biglatefunnels_level_4)","funnel(1), fcap(92), smoke(60), size(14)",,,,,,,,,,,,,,,,,,,704,563.2,,
modern_BB_funnel_3_bismarck,,,funnel,Uber Funnel IV,,,620.8,924000,,60,bismarck_funnel_a,1,,funnel,,need(BB_Modern_Germany;BB_Modern_Germany_small),"funnel(1), fcap(87.5), smoke(57.5), size(13.5)",,,,,,,,,,,,,,,,,,,620.8,496.64,,
atlanta_cl_funnel_complex_2,,,funnel,Advanced Funnel Complex II,,,365,325000,,25,atlanta_funnel_b,1.06,,funnel,,"need(CL_Atlanta;DD_Advanced_US;CA_American_Style), funnel_big_complex","funnel(1), fcap(38), smoke(25), size(13), fire_ex(11)",,,,,,,,,,,,,,,,,,,705,564,,
atlanta_cl_funnel_complex_1,,,funnel,Advanced Funnel Complex I,,,290,295000,,22,atlanta_funnel_b,1,,funnel,,"need(CL_Atlanta;DD_Advanced_US;CA_American_Style), funnel_big_complex","funnel(1), fcap(35), smoke(24), size(12), fire_ex(10)",,,,,,,,,,,,,,,,,,,650,520,,
modern_BB_funnel_3_bismarck_caversion,,,funnel,Uber Funnel IV,,,620.8,924000,,60,bismarck_funnel_a,1,,funnel,,"need(CA_German_Pocket_Big), needunlock(biglatefunnels_level_4)","funnel(1), fcap(87.5), smoke(57.5), size(13.5)",,,,,,,,,,,,,,,,,,,620.8,496.64,,
modern_BB_funnel_5_spee,,,funnel,Uber Funnel Station III,,,864,1010000,,80,spee_funnel_a,1.3,,funnel,,"need(BB_Modern_Thick;BB_Modern_Spain;BB_Modern_Austria2;BB_Austria_Super;China_MD;Spain_MD), needunlock(biglatefunnels_level_4)","funnel(1), fcap(97), smoke(70), radio(36), tspot(6900), size(17)",,,,,,,,,,,,,,,,,,,864,691.2,,
modern_BB_funnel_4_spee,,,funnel,Uber Funnel Station II,,,790.4,950000,,75,spee_funnel_a,1.25,,funnel,,"need(BB_Modern_Thick;BB_Modern_Spain;BB_Modern_Austria2;BB_Austria_Super;China_MD;Spain_MD), needunlock(biglatefunnels_level_4)","funnel(1), fcap(93), smoke(65), radio(34), tspot(6700), size(16)",,,,,,,,,,,,,,,,,,,790.4,632.32,,
modern_BB_funnel_3_spee,,,funnel,Uber Funnel Station I,,,720,900000,,70,spee_funnel_a,1.2,,funnel,,need(BB_Modern_Thick;BB_Modern_Spain;BB_Modern_Austria2;BB_Austria_Super;China_MD;Spain_MD),"funnel(1), fcap(89), smoke(61), radio(32), tspot(6500), size(15)",,,,,,,,,,,,,,,,,,,720,576,,
modern_BB_funnel_2_spee,,,funnel,Funnel Station (Extra Large),,,611.2,800000,,64,spee_funnel_a,1.1,,funnel,,"need(CA_German_Pocket;CA_German_Pocket_Big;BB_Modern_Spain;BB_Modern_Austria2;BB_Austria_Super;Heavy_Nurnberg;Light_Nurnberg), needunlock(biglatefunnels_level_3)","funnel(1), fcap(84), smoke(57), radio(29), tspot(6200), size(14)",,,,,,,,,,,,,,,,,,,611.2,488.96,,
modern_BB_funnel_1_spee_large,,,funnel,Funnel Station (Large),,,560,750000,,58,spee_funnel_a,1.05,,funnel,,"need(CA_German_Pocket;CA_German_Pocket_Big;BB_Modern_Spain;BB_Modern_Austria2;BB_Austria_Super;Heavy_Nurnberg;Light_Nurnberg), needunlock(biglatefunnels_level_2)","funnel(1), fcap(80), smoke(55), radio(27.5), tspot(6000), size(13.5)",,,,,,,,,,,,,,,,,,,560,448,,
modern_BB_funnel_1_spee,,,funnel,Funnel Station (Standard),,,521.6,700000,,55,spee_funnel_a,1,,funnel,,need(CA_German_Pocket;CA_German_Pocket_Big;BB_Modern_Spain;BB_Modern_Austria2;BB_Austria_Super;Heavy_Nurnberg;Light_Nurnberg),"funnel(1), fcap(77), smoke(53), radio(25), tspot(5850), size(13)",,,,,,,,,,,,,,,,,,,521.6,417.28,,
modern_BB_funnel_1_spee_small,,,funnel,Funnel Station (Small),,,495.36,620000,,50,spee_funnel_a,0.95,,funnel,,need(CA_German_Pocket;CA_German_Pocket_Big;BB_Modern_Spain;Heavy_Nurnberg;Light_Nurnberg),"funnel(1), fcap(73.5), smoke(49), radio(22), tspot(5350), size(12)",,,,,,,,,,,,,,,,,,,495.36,396.288,,
modern_BB_funnel_2_bismarck_bigvar,,,funnel, Uber Funnel III (Enhanced),,,576,875000,,55,bismarck_funnel_a,0.95,,funnel,,"need(BB_Modern_Germany;BC_Modern_German;BB_Modern_Germany_small), needunlock(late_BB_funnels_level_4)","funnel(1), fcap(86.5), smoke(54), size(13.25)",,,,,,,,,,,,,,,,,,,576,460.8,,
modern_BB_funnel_2_bismarck,,,funnel, Uber Funnel III,,,544,835000,,50,bismarck_funnel_a,0.9,,funnel,,"need(BB_Modern_Germany;BC_Modern_German;BB_Modern_Germany_small), needunlock(late_BB_funnels_level_4)","funnel(1), fcap(85), smoke(52), size(13)",,,,,,,,,,,,,,,,,,,544,435.2,,
modern_BB_funnel_2_bismarck_caversion,,,funnel, Uber Funnel III,,,544,835000,,50,bismarck_funnel_a,0.85,,funnel,,"need(CA_Heavy_German), needunlock(biglatefunnels_level_4)","funnel(1), fcap(76), smoke(52), size(13)",,,,,,,,,,,,,,,,,,,544,435.2,,
modern_BB_funnel_1_bismarck,,,funnel,Uber Funnel II,,,505.6,790000,,50,bismarck_funnel_a,0.8,,funnel,,need(BB_Modern_Germany;BC_Modern_German;BB_Modern_Germany_small),"funnel(1), fcap(82), smoke(48), size(12.7)",,,,,,,,,,,,,,,,,,,505.6,404.48,,
modern_BB_funnel_1_bismarck_caversion,,,funnel,Uber Funnel II,,,505.6,740000,,50,bismarck_funnel_a,0.78,,funnel,,"need(CA_Heavy_German), needunlock(biglatefunnels_level_4)","funnel(1), fcap(68), smoke(48), size(12.5)",,,,,,,,,,,,,,,,,,,505.6,404.48,,
modern_BB_funnel_1_bismarck_caversion_small,,,funnel,Uber Funnel I,,,460.8,710000,,45,bismarck_funnel_a,0.72,,funnel,,"need(CA_Heavy_German;CL_Modern_GeAu), needunlock(biglatefunnels_level_3)","funnel(1), fcap(60), smoke(44), size(12.3)",,,,,,,,,,,,,,,,,,,460.8,368.64,,
modern_BB_funnel_1_bismarck_caversion_small_narrow5,,,funnel,Narrow Uber Funnel V,,,600,4230000,,60,bismarck_funnel_a_narrow,0.91,,funnel,,need(CA_Heavy_German_Hipper;BC_Scharnhorst),"funnel(1), fcap(90), smoke(49), size(15)",,,,,,,,,,,,,,,,,,,600,480,710000,2130000
modern_BB_funnel_1_bismarck_caversion_small_narrow4,,,funnel,Narrow Uber Funnel IV,,,550,3830000,,55,bismarck_funnel_a_narrow,0.87,,funnel,,need(CA_Heavy_German_Hipper;BC_Scharnhorst),"funnel(1), fcap(86), smoke(45), size(14)",,,,,,,,,,,,,,,,,,,550,440,710000,2130000
modern_BB_funnel_1_bismarck_caversion_small_narrow3,,,funnel,Narrow Uber Funnel II,,,500,3330000,,50,bismarck_funnel_a_narrow,0.82,,funnel,,need(CA_Heavy_German_Hipper;BC_Scharnhorst),"funnel(1), fcap(82), smoke(42), size(13)",,,,,,,,,,,,,,,,,,,500,400,710000,2130000
modern_BB_funnel_1_bismarck_caversion_small_narrow2,,,funnel,Narrow Uber Funnel II,,,450,2530000,,45,bismarck_funnel_a_narrow,0.77,,funnel,,need(CA_Heavy_German_Hipper),"funnel(1), fcap(78), smoke(40), size(12)",,,,,,,,,,,,,,,,,,,450,360,710000,2130000
modern_BB_funnel_1_bismarck_caversion_small_narrow1,,,funnel,Narrow Uber Funnel I,,,400,2030000,,40,bismarck_funnel_a_narrow,0.74,,funnel,,need(CA_Heavy_German_Hipper),"funnel(1), fcap(74), smoke(38), size(11)",,,,,,,,,,,,,,,,,,,400,320,710000,2130000
modern_BB_funnel_11_littorio,,,funnel,Tall Angled Funnel V,,,937.6,1050000,,75,littorio_funnel_c,1.25,,funnel,,"need(BB_Littorio_Super, BB_Littorio;BC_Littorio), needunlock(late_BB_funnels_level_4)","funnel(1), fcap(88), smoke(62), size(16.5)",,,,,,,,,,,,,,,,,,,937.6,750.08,,
modern_BB_funnel_10_littorio,,,funnel,Tall Angled Funnel IV,,,873.6,950000,,70,littorio_funnel_c,1.2,,funnel,,"need(BB_Littorio_Super, BB_Littorio;BC_Littorio), needunlock(late_BB_funnels_level_4)","funnel(1), fcap(86), smoke(59), size(16)",,,,,,,,,,,,,,,,,,,873.6,698.88,,
modern_BB_funnel_9_littorio,,,funnel,Tall Angled Funnel III,,,809.6,890000,,67,littorio_funnel_c,1.15,,funnel,,"need(BB_Littorio_Super, BB_Littorio;BC_Littorio), needunlock(late_BB_funnels_level_4)","funnel(1), fcap(84.5), smoke(56), size(15.5)",,,,,,,,,,,,,,,,,,,809.6,647.68,,
modern_BB_funnel_8_littorio,,,funnel,Tall Angled Funnel II,,,745.6,840000,,67,littorio_funnel_c,1.1,,funnel,,"need(BB_Littorio_Super, BB_Littorio;BC_Littorio)","funnel(1), fcap(82.5), smoke(54), size(14.5)",,,,,,,,,,,,,,,,,,,745.6,596.48,,
modern_BB_funnel_7_littorio,,,funnel,Tall Angled Funnel I,,,630.4,770000,,60,littorio_funnel_c,1,,funnel,,"need(BB_Littorio;BC_Littorio;BB_Modern_Italy2;BB_Modern_Italy), needunlock(biglatefunnels_level_4)","funnel(1), fcap(80), smoke(49), size(13)",,,,,,,,,,,,,,,,,,,630.4,504.32,,
modern_BB_funnel_7_littorio_caversion,,,funnel,Tall Angled Funnel III,,,630.4,870000,,70,littorio_funnel_c,1,,funnel,,"need(CA_Italy_LowFreeboard;CL_Chapayev), needunlock(biglatefunnels_level_4)","funnel(1), fcap(80), smoke(55), size(13)",,,,,,,,,,,,,,,,,,,630.4,504.32,,
modern_BB_funnel_7_littorio_small2,,,funnel,Tall Angled Funnel II,,,579.2,820000,,67,littorio_funnel_c,0.95,,funnel,,need(Modern_CL_Italian;CA_Italy_LowFreeboard;CL_Chapayev),"funnel(1), fcap(75), smoke(50), size(12.4)",,,,,,,,,,,,,,,,,,,579.2,463.36,,
modern_BB_funnel_7_littorio_small,,,funnel,Tall Angled Funnel I,,,547.2,770000,,64,littorio_funnel_c,0.9,,funnel,,need(Modern_CL_Italian;CA_Italy_LowFreeboard;CL_Chapayev),"funnel(1), fcap(70), smoke(45), size(11.7)",,,,,,,,,,,,,,,,,,,547.2,437.76,,
modern_BB_funnel_6_littorio,,,funnel,Medium Angled Funnel III,,,608,700000,,61,littorio_funnel_b,1.2,,funnel,,need(BB_Littorio_Super;BC_Littorio;BB_Littorio;BB_Modern_Italy2;BB_Modern_Italy),"funnel(1), fcap(77.5), smoke(47), size(12)",,,,,,,,,,,,,,,,,,,608,486.4,,
modern_BB_funnel_5_littorio,,,funnel,Medium Angled Funnel II,,,576,650000,,58,littorio_funnel_b,1.1,,funnel,,need(BB_Littorio_Super;BC_Littorio;BB_Littorio;BB_Modern_Italy2;BB_Modern_Italy;Large_Cruiser_Italy),"funnel(1), fcap(77.5), smoke(47), size(12)",,,,,,,,,,,,,,,,,,,576,460.8,,
modern_BB_funnel_4_littorio,,,funnel,Medium Angled Funnel I,,,544,600000,,55,littorio_funnel_b,1,,funnel,,need(BB_Littorio;BC_Littorio;BB_Modern_Italy2;BB_Modern_Italy;Large_Cruiser_Italy),"funnel(1), fcap(75), smoke(45), size(11.5)",,,,,,,,,,,,,,,,,,,544,435.2,,
modern_BB_funnel_4_littorio_caversion_big,,,funnel,Medium Angled Funnel III,,,369.6,240000,,58,littorio_funnel_b,1.05,,funnel,,"need(CA_Italy_LowFreeboard;DD_Hybrid_It;CL_Chapayev), needunlock(biglatefunnels_level_4)","funnel(1), fcap(35), smoke(36), size(12)",,,,,,,,,,,,,,,,,,,569.6,455.68,,
modern_BB_funnel_4_littorio_caversion,,,funnel,Medium Angled Funnel II,,,344,220000,,55,littorio_funnel_b,1,,funnel,,"need(CA_Italy_LowFreeboard;DD_Hybrid_It;CL_Chapayev), needunlock(biglatefunnels_level_4)","funnel(1), fcap(32), smoke(34), size(11.5)",,,,,,,,,,,,,,,,,,,544,435.2,,
modern_BB_funnel_4_littorio_caversion_small,,,funnel,Medium Angled Funnel I,,,312,210000,,52,littorio_funnel_b,0.95,,funnel,,"need(CA_Italy_LowFreeboard;DD_Hybrid_It), needunlock(biglatefunnels_level_3)","funnel(1), fcap(29), smoke(32), size(11.5)",,,,,,,,,,,,,,,,,,,512,409.6,,
modern_BB_funnel_4_littorio_small,,,funnel,Medium Angled Funnel I (small),,,280,190000,,50,littorio_funnel_b,0.9,,funnel,,need(Modern_CL_Italian;DD_Hybrid_It;CL_Chapayev),"funnel(1), fcap(26), smoke(30), size(10.5)",,,,,,,,,,,,,,,,,,,480,384,,
modern_BB_funnel_3_littorio,,,funnel,Compact Angled Funnel III,,,515.2,570000,,53,littorio_funnel_a,1.2,,funnel,,need(BB_Littorio_Super;BC_Littorio;BB_Littorio;BB_Modern_Italy2;BB_Modern_Italy;BC_Modern_Italy),"funnel(1), fcap(69), smoke(44), size(11)",,,,,,,,,,,,,,,,,,,515.2,412.16,,
modern_BB_funnel_2_littorio,,,funnel,Compact Angled Funnel II,,,489.6,525000,,50,littorio_funnel_a,1.1,,funnel,,need(BB_Littorio;BC_Littorio;BB_Modern_Italy2;BB_Modern_Italy;BC_Modern_Italy;Large_Cruiser_Italy;CL_Modern_2_Trento),"funnel(1), fcap(67), smoke(42), size(10.5)",,,,,,,,,,,,,,,,,,,489.6,391.68,,
modern_BB_funnel_1_littorio,,,funnel,Compact Angled Funnel I,,,460.8,490000,,47,littorio_funnel_a,1,,funnel,,need(BB_Littorio;BC_Littorio;BB_Modern_Italy2;BB_Modern_Italy;BC_Modern_Italy;Large_Cruiser_Italy;CL_Modern_2_Trento),"funnel(1), fcap(65), smoke(40), size(10)",,,,,,,,,,,,,,,,,,,460.8,368.64,,
modern_BB_funnel_1_littorio_caversion2,,,funnel,Compact Angled Funnel IV,,,296,170000,,47,littorio_funnel_a,1.05,,funnel,,"need(CA_Italy_LowFreeboard;DD_Hybrid_It), needunlock(biglatefunnels_level_3)","funnel(1), fcap(24), smoke(28), size(10.7)",,,,,,,,,,,,,,,,,,,496,396.8,,
modern_BB_funnel_1_littorio_caversion,,,funnel,Compact Angled Funnel III,,,260.8,145000,,14,littorio_funnel_a,0.95,,funnel,,need(CA_Italy_LowFreeboard;DD_Modern_L_It;DD_Modern_M_It;DD_Hybrid_It;CL_Smolensk),"funnel(1), fcap(21), smoke(26), size(10)",,,,,,,,,,,,,,,,,,,460.8,368.64,,
modern_BB_funnel_1_littorio_medium,,,funnel,Compact Angled Funnel II,,,216,120000,,12,littorio_funnel_a,0.85,,funnel,,need(Modern_CL_Italian;DD_Modern_L_It;DD_Modern_M_It;DD_Hybrid_It;CL_Smolensk),"funnel(1), fcap(18), smoke(24), size(9.5)",,,,,,,,,,,,,,,,,,,416,332.8,,
modern_BB_funnel_1_littorio_small,,,funnel,Compact Angled Funnel I,,,184,95000,,10,littorio_funnel_a,0.77,,funnel,,need(Modern_CL_Italian;DD_Modern_L_It;DD_Modern_M_It;DD_Hybrid_It;CL_Smolensk),"funnel(1), fcap(15), smoke(22), size(9)",,,,,,,,,,,,,,,,,,,384,307.2,,
modern_BB_funnel_1_littorio_small_mini2,,,funnel,Small Angled Funnel II,,,34,25000,,5,littorio_funnel_a,0.7,,funnel,,need(TB_Modern_4),"funnel(1), fcap(7), smoke(17), size(3.5)",,,,,,,,,,,,,,,,,,,384,307.2,,
modern_BB_funnel_1_littorio_small_mini,,,funnel,Small Angled Funnel I,,,29,21000,,4,littorio_funnel_a,0.65,,funnel,,need(TB_Modern_4),"funnel(1), fcap(6), smoke(15), size(3)",,,,,,,,,,,,,,,,,,,384,307.2,,
monte_funnel_6_bigger,,,funnel,Turbine Funnel Complex III,,,425,4650000,,80,monte_funnel_b,1.1,,funnel,,need(CL_Condot_Monte;BB_Cesare;DD_Modern_Hybrid_Italy;DD_Russia_big),"funnel(1), fcap(44), smoke(55), aim(5.5), size(23)",,,,,,,,,,,,,,,,,,,425,340,390000,1170000
monte_funnel_6_big,,,funnel,Turbine Funnel Complex II,,,400,4350000,,75,monte_funnel_b,1.05,,funnel,,need(CL_Condot_Monte;BB_Cesare;DD_Modern_Hybrid_Italy;DD_Russia_big),"funnel(1), fcap(42), smoke(54), aim(4.5), size(21.5)",,,,,,,,,,,,,,,,,,,400,320,390000,1170000
monte_funnel_6,,,funnel,Turbine Funnel Complex I,,,385,4050000,,72,monte_funnel_b,1,,funnel,,need(CL_Condot_Monte;BB_Cesare;DD_Modern_Hybrid_Italy;DD_Russia_big),"funnel(1), fcap(40), smoke(53), aim(3.5), size(20)",,,,,,,,,,,,,,,,,,,385,308,390000,1170000
monte_funnel_5_big,,,funnel,Ultra Turbine Funnel II,,,365,3550000,,64,monte_funnel_a,1.05,,funnel,,need(CL_Condot_Monte;BB_Cesare;DD_Modern_Hybrid_Italy;DD_Russia_big),"funnel(1), fcap(38), smoke(52), size(17.5)",,,,,,,,,,,,,,,,,,,365,292,390000,1170000
monte_funnel_5,,,funnel,Ultra Turbine Funnel I,,,340,3350000,,60,monte_funnel_a,1,,funnel,,need(CL_Condot_Monte;BB_Cesare;DD_Modern_Hybrid_Italy;DD_Russia_big),"funnel(1), fcap(36), smoke(50), size(16.5)",,,,,,,,,,,,,,,,,,,340,272,390000,1170000
monte_funnel_4_big,,,funnel,Enhanced Turbine Funnel IV,,,335,2950000,,55,monte_funnel_d,1.05,,funnel,,need(CL_Condot_Monte;BB_Cesare;DD_Hybrid_Generic;DD_Modern_Hybrid_Italy;DD_Russia_big),"funnel(1), fcap(34), smoke(48), size(15)",,,,,,,,,,,,,,,,,,,335,268,390000,1170000
monte_funnel_4,,,funnel,Enhanced Turbine Funnel III,,,305,2620000,,52,monte_funnel_d,1,,funnel,,need(CL_Condot_Monte;BB_Cesare;DD_Hybrid_Generic;DD_Modern_Hybrid_Italy;DD_Russia_big),"funnel(1), fcap(31), smoke(46), size(13.5)",,,,,,,,,,,,,,,,,,,305,244,390000,1170000
monte_funnel_3_big,,,funnel,Enhanced Turbine Funnel II,,,295,2250000,,50,monte_funnel_c,1.05,,funnel,,need(CL_Condot_Monte;BB_Cesare;DD_Hybrid_Generic;DD_Modern_Hybrid_Italy;DD_Russia_big),"funnel(1), fcap(28), smoke(44), size(12.5)",,,,,,,,,,,,,,,,,,,295,236,390000,1170000
monte_funnel_3,,,funnel,Enhanced Turbine Funnel I,,,260,2020000,,48,monte_funnel_c,1,,funnel,,need(CL_Condot_Monte;BB_Cesare;DD_Hybrid_Generic;DD_Modern_Hybrid_Italy;DD_Russia_big),"funnel(1), fcap(26), smoke(42), size(12)",,,,,,,,,,,,,,,,,,,260,208,390000,1170000
